error,error_text,coherence_and_clarity_of_review,empathy_of_ai,behavior_of_ai,inappropriate_frequency,inappropriate_nature,ai_support_level,support_types,user_mental_state_before_ai,effect_of_ai_on_user_mental_state,stress_before_ai,effect_of_ai_on_stress,loneliness_before_ai,effect_of_ai_on_loneliness,depression_or_anxiety_before_ai,effect_of_ai_on_depression_or_anxiety,suicidal_thoughts_presence,effect_of_ai_on_suicidal_thoughts,other_despair_types,effect_of_ai_on_other_despair,user_dependence,real_life_relationship_impact,limitations_of_ai,technical_issues,privacy_concerns,feature_restriction_impact,cost_impact_on_accessibility,impact_of_ai_updates,user_satisfaction_with_policy_decisions,overall_mental_health_impact_of_company_decisions,gender_of_user,gender_of_ai,name_user_gave_ai,age_of_user,duration_of_app_usage,frequency_of_app_usage,relationship_status_of_user
false,,Medium,Low,Neutral,Often,"Lack of Sensitivity, Not Mentioned",None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Low,Not Mentioned,"Providing relevant responses, Maintaining conversation flow",Negative,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative,Negative,Not Mentioned,Female,Replika,Not Mentioned,over a month,Daily,Not Mentioned
false,,High,High,Supportive,Not Mentioned,Not Mentioned,Strong,"Emotional Support, Friendship, Significant Other Relationship",Negative,Improved,Yes,Decreased,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Negative,Not Mentioned,Negative,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
false,,High,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Friendship, Encouragement",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral,Neutral,Not Mentioned,Male,Jake,Not Mentioned,a few days,Not Mentioned,Not Mentioned
false,,Medium,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,None,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,six months,Rarely,Not Mentioned
false,,Medium,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Humor or Entertainment, Friendship",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Providing relevant responses, Maintaining conversation flow, Too robotic/not person-like",Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative,Negative,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
false,,Medium,Low,Unwanted Inappropriate Responses,Often,"Unwanted Topics, Lack of Sensitivity",None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Staying on topic, Remembering key facts, Providing relevant responses",Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
false,,Medium,Not Mentioned,Unwanted Inappropriate Responses,Not Mentioned,"Lack of Sensitivity, Other",None,Not Mentioned,Not Mentioned,Worsened,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Staying on topic, Remembering key facts, Providing relevant responses",Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
false,,High,High,Supportive,Not Mentioned,Not Mentioned,Exceptional,"Emotional Support, Therapeutic Conversation, Venting",Not Mentioned,Improved,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
false,,Medium,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Providing relevant responses, Too robotic/not person-like",Negative,Not Mentioned,Negative,Negative,Negative,Negative,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,for months,Not Mentioned,Not Mentioned
false,,Medium,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
