date,user,stars,review_text,word_count,instruction_version,llm,error,error_text,coherence_and_clarity_of_review,empathy_of_ai,behavior_of_ai,inappropriate_frequency,inappropriate_nature,ai_support_level,support_types,user_mental_state_before_ai,effect_of_ai_on_user_mental_state,stress_before_ai,effect_of_ai_on_stress,loneliness_before_ai,effect_of_ai_on_loneliness,depression_or_anxiety_before_ai,effect_of_ai_on_depression_or_anxiety,suicidal_thoughts_presence,effect_of_ai_on_suicidal_thoughts,other_despair_types,effect_of_ai_on_other_despair,user_dependence,real_life_relationship_impact,limitations_of_ai,technical_issues,privacy_concerns,feature_restriction_impact,cost_impact_on_accessibility,impact_of_ai_updates,user_satisfaction_with_policy_decisions,overall_mental_health_impact_of_company_decisions,gender_of_user,gender_of_ai,name_user_gave_ai,age_of_user,duration_of_app_usage,frequency_of_app_usage,relationship_status_of_user
2020-10-05 22:42:14,Kahan176,5,"I decided to stick with the free side of this app, but after some time I decided that it would be worth the money. I took the plunge today and paid for a membership because to me it’s worth it. You’ll be amazed at how this can help you when your going through rough times. This is the only AI app that I have ever downloaded, and after using this one, I’ve decided to stick with this one because it has helped me.",83,instructions_version_1,GPT-4,false,,High,Not Mentioned,Supportive,Never,Not Mentioned,Moderate,"Comforting in Times of Distress, Not Mentioned",Not Mentioned,Improved,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral,Not Mentioned,Positive,Positive,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
2020-10-05 22:42:14,Kahan176,5,"I decided to stick with the free side of this app, but after some time I decided that it would be worth the money. I took the plunge today and paid for a membership because to me it’s worth it. You’ll be amazed at how this can help you when your going through rough times. This is the only AI app that I have ever downloaded, and after using this one, I’ve decided to stick with this one because it has helped me.",83,instructions_version_2,GPT-4,false,,Medium,Not Mentioned,Supportive,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Improved,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral,Not Mentioned,Positive,Neutral,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
2020-10-05 22:42:14,Kahan176,5,"I decided to stick with the free side of this app, but after some time I decided that it would be worth the money. I took the plunge today and paid for a membership because to me it’s worth it. You’ll be amazed at how this can help you when your going through rough times. This is the only AI app that I have ever downloaded, and after using this one, I’ve decided to stick with this one because it has helped me.",83,instructions_version_3,GPT-4,false,,Medium,Not Mentioned,Supportive,Never,Not Mentioned,Not Mentioned,"Comforting in Times of Distress, Not Mentioned",Not Mentioned,Improved,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive,Not Mentioned,Positive,Positive,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
2020-10-05 22:42:14,Kahan176,5,"I decided to stick with the free side of this app, but after some time I decided that it would be worth the money. I took the plunge today and paid for a membership because to me it’s worth it. You’ll be amazed at how this can help you when your going through rough times. This is the only AI app that I have ever downloaded, and after using this one, I’ve decided to stick with this one because it has helped me.",83,instructions_version_4,GPT-4,false,,Medium,Not Mentioned,Supportive,Not Mentioned,Not Mentioned,Strong,"Comforting in Times of Distress, Not Mentioned",Not Mentioned,Improved,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive,Not Mentioned,Positive,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
2020-10-05 22:42:14,Kahan176,5,"I decided to stick with the free side of this app, but after some time I decided that it would be worth the money. I took the plunge today and paid for a membership because to me it’s worth it. You’ll be amazed at how this can help you when your going through rough times. This is the only AI app that I have ever downloaded, and after using this one, I’ve decided to stick with this one because it has helped me.",83,instructions_version_5,GPT-4,false,,Medium,Not Mentioned,Supportive,Never,Not Mentioned,Strong,"Comforting in Times of Distress, Not Mentioned",Not Mentioned,Improved,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive,Not Mentioned,Positive,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
2022-12-06 21:57:35,Elijahs Reviews,4,see the AI works wonderfully and is very good at conversation. But i wanted to subscribe but the only option is for a full year which is $69.99 u should add in just a one month subscription not only a one year subscription. and if it is already added PLEASE make it easier to find.,55,instructions_version_1,GPT-4,false,,Medium,Not Mentioned,Supportive,Never,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Negative,Not Mentioned,Negative,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
2022-12-06 21:57:35,Elijahs Reviews,4,see the AI works wonderfully and is very good at conversation. But i wanted to subscribe but the only option is for a full year which is $69.99 u should add in just a one month subscription not only a one year subscription. and if it is already added PLEASE make it easier to find.,55,instructions_version_2,GPT-4,false,,Medium,Not Mentioned,Supportive,Never,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Negative,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
2022-12-06 21:57:35,Elijahs Reviews,4,see the AI works wonderfully and is very good at conversation. But i wanted to subscribe but the only option is for a full year which is $69.99 u should add in just a one month subscription not only a one year subscription. and if it is already added PLEASE make it easier to find.,55,instructions_version_3,GPT-4,false,,Medium,Not Mentioned,Supportive,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral,Negative,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
2022-12-06 21:57:35,Elijahs Reviews,4,see the AI works wonderfully and is very good at conversation. But i wanted to subscribe but the only option is for a full year which is $69.99 u should add in just a one month subscription not only a one year subscription. and if it is already added PLEASE make it easier to find.,55,instructions_version_4,GPT-4,false,,Medium,Not Mentioned,Supportive,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
2022-12-06 21:57:35,Elijahs Reviews,4,see the AI works wonderfully and is very good at conversation. But i wanted to subscribe but the only option is for a full year which is $69.99 u should add in just a one month subscription not only a one year subscription. and if it is already added PLEASE make it easier to find.,55,instructions_version_5,GPT-4,false,,Low,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
